,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1,14058095,the boy and the dog are looking at the frog,the boy and the dog be look at the frog,,,declarative,eng,12,10,1,POLER,det:art n coord det:art n aux part prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,0.001,3.568,s,Clinical-MOR,17,256,18469,18469,31496
2,14058096,the frog is getting out of the jar,the frog be get out of the jar,,,declarative,eng,10,8,2,POLER,det:art n cop n:gerund prep prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,3.568,7.143,s,Clinical-MOR,17,256,18469,18469,31496
3,14058097,the frog escapes through the window,the frog escape through the window,,,declarative,eng,7,6,3,POLER,det:art n v prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,7.143,11.854,s,Clinical-MOR,17,256,18469,18469,31496
4,14058098,the boy and the dog look for the frog,the boy and the dog look for the frog,,,declarative,eng,9,9,4,POLER,det:art n coord det:art n v prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,11.854,15.972,s,Clinical-MOR,17,256,18469,18469,31496
5,14058099,the boy and the dog call for the frog,the boy and the dog call for the frog,,,declarative,eng,9,9,5,POLER,det:art n coord det:art n n prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,15.972,21.46,s,Clinical-MOR,17,256,18469,18469,31496
6,14058100,the boy and the dog keep looking for the frog,the boy and the dog keep look for the frog,,,declarative,eng,11,10,6,POLER,det:art n coord det:art n v part prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,21.46,26.76,s,Clinical-MOR,17,256,18469,18469,31496
7,14058101,the boy looks at the dog,the boy look at the dog,,,declarative,eng,7,6,7,POLER,det:art n v prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,,,None,Clinical-MOR,17,256,18469,18469,31496
8,14058102,the dog breaks the jar,the dog break the jar,,,declarative,eng,6,5,8,POLER,det:art n v det:art n,CHI,302,Target_Child,302,153.00314174829052,male,26.76,35.85,s,Clinical-MOR,17,256,18469,18469,31496
9,14058103,the boy and the dog keep calling for the frog,the boy and the dog keep call for the frog,,,declarative,eng,11,10,9,POLER,det:art n coord det:art n v part prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,35.85,41.748,s,Clinical-MOR,17,256,18469,18469,31496
10,14058104,the boy and the dog keep looking for the frog,the boy and the dog keep look for the frog,,,declarative,eng,11,10,10,POLER,det:art n coord det:art n v part prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,41.748,47.204,s,Clinical-MOR,17,256,18469,18469,31496
11,14058105,the boy's nose gets bit by a gopher,the boy nose get bite by a gopher,,,declarative,eng,12,8,11,POLER,det:art adj n v v prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,47.204,51.218,s,Clinical-MOR,17,256,18469,18469,31496
12,14058106,the dog knocks down a beehive,the dog knock down a beehive,,,declarative,eng,7,6,12,POLER,det:art n v prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,51.218,61.333,s,Clinical-MOR,17,256,18469,18469,31496
13,14058129,the boy climbs up a tree,the boy climb up a tree,,,declarative,eng,7,6,13,POLER,det:art n v prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,61.333,63.762,s,Clinical-MOR,17,256,18469,18469,31496
14,14058135,the d the boy gets chased by an owl,the boy get chase by a owl,,,declarative,eng,9,9,14,POLER,det:art n v v prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,63.762,74.605,s,Clinical-MOR,17,256,18469,18469,31496
15,14058145,the dog gets chased by bees,the dog get chase by bee,,,declarative,eng,9,6,15,POLER,det:art n v v prep n,CHI,302,Target_Child,302,153.00314174829052,male,74.605,76.109,s,Clinical-MOR,17,256,18469,18469,31496
16,14058153,the owl chases the boy,the owl chase the boy,,,declarative,eng,6,5,16,POLER,det:art n v det:art n,CHI,302,Target_Child,302,153.00314174829052,male,,,None,Clinical-MOR,17,256,18469,18469,31496
17,14058163,the boy holds on to the deer's antlers,the boy hold on to the deer antler,,,declarative,eng,12,8,17,POLER,det:art n v adv prep det:art adj n,CHI,302,Target_Child,302,153.00314174829052,male,76.109,87.547,s,Clinical-MOR,17,256,18469,18469,31496
18,14058168,the deer gets up,the deer get up,,,declarative,eng,5,4,18,POLER,det:art n v adv,CHI,302,Target_Child,302,153.00314174829052,male,,,None,Clinical-MOR,17,256,18469,18469,31496
19,14058183,runs away,run away,,,declarative,eng,3,2,19,POLER,v adv,CHI,302,Target_Child,302,153.00314174829052,male,,,None,Clinical-MOR,17,256,18469,18469,31496
20,14058196,the boy falls off,the boy fall off,,,declarative,eng,5,4,20,POLER,det:art n v adv,CHI,302,Target_Child,302,153.00314174829052,male,87.547,96.434,s,Clinical-MOR,17,256,18469,18469,31496
21,14058208,the boy and the dog are in the pond,the boy and the dog be in the pond,,,declarative,eng,10,9,21,POLER,det:art n coord det:art n cop prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,96.434,103.307,s,Clinical-MOR,17,256,18469,18469,31496
22,14058222,the boy and the dog are in the pond,the boy and the dog be in the pond,,,declarative,eng,10,9,22,POLER,det:art n coord det:art n cop prep det:art n,CHI,302,Target_Child,302,153.00314174829052,male,103.307,108.087,s,Clinical-MOR,17,256,18469,18469,31496
23,14058236,the boy and the dog hear something,the boy and the dog hear something,,,declarative,eng,7,7,23,POLER,det:art n coord det:art n v pro:indef,CHI,302,Target_Child,302,153.00314174829052,male,108.087,110.94,s,Clinical-MOR,17,256,18469,18469,31496
24,14058249,the boy says ssh,the boy say ssh,,,declarative,eng,5,4,24,POLER,det:art n v co,CHI,302,Target_Child,302,153.00314174829052,male,110.94,115.485,s,Clinical-MOR,17,256,18469,18469,31496
25,14058262,the boy and the dog climb over the log,the boy and the dog climb over the log,,,declarative,eng,9,9,25,POLER,det:art n coord det:art n v adv det:art n,CHI,302,Target_Child,302,153.00314174829052,male,115.485,119.89,s,Clinical-MOR,17,256,18469,18469,31496
26,14058273,the boy and the dog see two frogs,the boy and the dog see two frog,,,declarative,eng,9,8,26,POLER,det:art n coord det:art n v det:num n,CHI,302,Target_Child,302,153.00314174829052,male,119.89,123.991,s,Clinical-MOR,17,256,18469,18469,31496
27,14058286,the boy and the dog see two frogs and the babies,the boy and the dog see two frog and the baby,,,declarative,eng,13,11,27,POLER,det:art n coord det:art n v det:num n coord det:art n,CHI,302,Target_Child,302,153.00314174829052,male,123.991,129.274,s,Clinical-MOR,17,256,18469,18469,31496
28,14058299,the boy takes one frog and leaves,the boy take one frog and leaf,,,declarative,eng,9,7,28,POLER,det:art n v det:num n coord n,CHI,302,Target_Child,302,153.00314174829052,male,129.274,135.247,s,Clinical-MOR,17,256,18469,18469,31496
29,14058314,and waves goodbye,and wave goodbye,,,declarative,eng,4,3,29,POLER,coord n co,CHI,302,Target_Child,302,153.00314174829052,male,135.247,138.753,s,Clinical-MOR,17,256,18469,18469,31496
30,14058324,good,good,,,declarative,eng,1,1,30,POLER,adj,CLI,Clinician,Investigator,302,153.00314174829052,male,138.753,140.77,s,Clinical-MOR,17,256,18470,18469,31496
31,14058353,go ahead,go ahead,,,declarative,eng,2,2,1,POLER,v adv,INV,None,Investigator,303,140.00287480235733,male,0.001,1.574,s,Clinical-MOR,17,256,18472,18471,31497
32,14058360,hm look at this frog we got,hm look at this frog we get,,,declarative,eng,8,7,2,POLER,co v prep det:dem n pro:sub v,CHI,303,Target_Child,303,140.00287480235733,male,1.574,4.804,s,Clinical-MOR,17,256,18471,18471,31497
33,14058373,hm hm,hm hm,,,declarative,eng,2,2,3,POLER,co co,CHI,303,Target_Child,303,140.00287480235733,male,4.804,6.705,s,Clinical-MOR,17,256,18471,18471,31497
34,14058380,what where'd he go,what where he go,,,question,eng,5,4,4,POLER,pro:int pro:int pro:sub v,CHI,303,Target_Child,303,140.00287480235733,male,11.044,15.078,s,Clinical-MOR,17,256,18471,18471,31497
35,14058391,frog,frog,,,declarative,eng,1,1,5,POLER,n,CHI,303,Target_Child,303,140.00287480235733,male,,,None,Clinical-MOR,17,256,18471,18471,31497
36,14058401,where are you,where be you,,,question,eng,4,3,6,POLER,pro:int cop pro:per,CHI,303,Target_Child,303,140.00287480235733,male,19.76,21.588,s,Clinical-MOR,17,256,18471,18471,31497
