,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1,17242263,car,,,,declarative,eng,-2147483648,1,1,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,24.532,25.179,s,Eng-NA,21,330,22782,22782,43514
2,17242277,tooth,,,,declarative,eng,-2147483648,1,2,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,31.011,32.096,s,Eng-NA,21,330,22782,22782,43514
3,17242289,sauce,,,,declarative,eng,-2147483648,1,3,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,36.58,37.64,s,Eng-NA,21,330,22782,22782,43514
4,17242307,chores,,,,declarative,eng,-2147483648,1,4,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,42.504,43.297,s,Eng-NA,21,330,22782,22782,43514
5,17242321,garden,,,,declarative,eng,-2147483648,1,5,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,51.171,52.281,s,Eng-NA,21,330,22782,22782,43514
6,17242336,soup,,,,declarative,eng,-2147483648,1,6,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,56.027,57.154,s,Eng-NA,21,330,22782,22782,43514
7,17242348,thinking,,,,declarative,eng,-2147483648,1,7,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,63.244,64.391,s,Eng-NA,21,330,22782,22782,43514
8,17242363,golf,,,,declarative,eng,-2147483648,1,8,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,72.409,73.559,s,Eng-NA,21,330,22782,22782,43514
9,17242380,suitcase,,,,declarative,eng,-2147483648,1,9,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,77.571,79.137,s,Eng-NA,21,330,22782,22782,43514
10,17242398,quilt,,,,declarative,eng,-2147483648,1,10,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,83.226,84.279,s,Eng-NA,21,330,22782,22782,43514
11,17242423,quail,,,,declarative,eng,-2147483648,1,11,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,91.199,92.438,s,Eng-NA,21,330,22782,22782,43514
12,17242444,domes,,,,declarative,eng,-2147483648,1,12,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,96.245,97.617,s,Eng-NA,21,330,22782,22782,43514
13,17242460,soccer,,,,declarative,eng,-2147483648,1,13,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,102.106,103.118,s,Eng-NA,21,330,22782,22782,43514
14,17242479,choose,,,,declarative,eng,-2147483648,1,14,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,115.583,116.847,s,Eng-NA,21,330,22782,22782,43514
15,17242488,checkers,,,,declarative,eng,-2147483648,1,15,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,120.38,121.474,s,Eng-NA,21,330,22782,22782,43514
16,17242508,ship,,,,declarative,eng,-2147483648,1,16,PaidoEnglish,,CHI,,Target_Child,,27.000554426168915,female,125.326,126.332,s,Eng-NA,21,330,22782,22782,43514
